[SumScore_Work_Check],[SumScore_Source_Check],[SumScore_Sleep_Loss],[SumScore_Obsess_Loop],[SumScore_Obsess_Debate],[SumScore_Obsess_Celeb],[SumScore_FOMO_Reaction],[SumScore_Fatigue],[SumScore_Escapism],[SumScore_Deepfake_Detect],[SumScore_Deep_Reading],[SumScore_Crowd_Pressure],[SumScore_Control_Time],[SumScore_Clickbait_Aware],[SumScore_AI_Trust],[SumScore_AI_Freq],Cluster_Group,Cluster_Name
3,1,4,1,1,2,3,2,2,1,0,4,3,0,3,2,0.0,Healthy
2,2,2,1,2,3,3,3,2,2,0,4,4,4,2,3,0.0,Healthy
4,0,4,1,2,3,3,3,5,2,2,4,3,2,3,2,1.0,Zombie
5,0,5,4,2,4,3,4,5,3,1,1,5,2,3,3,1.0,Zombie
5,4,3,3,1,3,3,3,5,4,2,3,4,0,2,2,1.0,Zombie
5,0,5,4,4,4,1,4,4,4,0,4,4,0,1,4,2.0,High-Tech Burnout
4,0,3,2,1,3,3,4,4,2,2,4,4,0,2,3,1.0,Zombie
4,2,4,1,1,2,3,4,4,3,0,4,4,4,3,4,1.0,Zombie
2,4,2,2,2,2,3,2,3,2,2,4,3,4,2,2,0.0,Healthy
2,4,4,1,1,3,3,4,4,4,2,4,4,2,3,4,1.0,Zombie
2,2,4,2,1,3,3,2,2,4,1,4,3,0,2,3,0.0,Healthy
2,0,1,2,2,3,3,2,4,1,2,4,3,0,2,2,0.0,Healthy
5,4,2,2,1,1,3,4,5,2,1,4,5,0,3,2,1.0,Zombie
4,1,4,2,2,2,3,4,4,1,0,1,3,0,1,2,1.0,Zombie
3,2,3,1,2,1,1,3,3,1,2,4,3,4,1,4,2.0,High-Tech Burnout
3,0,3,1,1,1,3,2,2,2,0,4,3,0,2,3,0.0,Healthy
5,0,2,3,1,3,3,2,5,4,1,1,5,4,3,2,1.0,Zombie
4,1,3,1,1,2,3,2,2,3,2,3,3,2,2,3,0.0,Healthy
3,1,3,3,1,2,3,2,3,3,0,4,3,0,3,2,0.0,Healthy
2,0,2,4,1,1,3,2,4,4,1,4,2,0,2,2,0.0,Healthy
3,0,3,3,2,3,2,3,2,4,2,4,3,0,2,2,2.0,High-Tech Burnout
3,0,3,3,1,1,3,2,4,4,2,4,3,4,2,2,0.0,Healthy
4,2,2,3,1,3,2,3,2,2,2,1,3,4,2,2,2.0,High-Tech Burnout
4,4,4,3,3,3,3,3,4,2,1,3,4,4,2,4,1.0,Zombie
4,0,5,3,2,2,3,4,5,2,2,2,3,0,1,4,1.0,Zombie
4,2,4,3,3,3,2,3,4,2,2,1,4,2,1,4,2.0,High-Tech Burnout
4,2,5,3,2,4,3,2,4,1,1,2,4,4,3,4,1.0,Zombie
5,2,5,2,2,3,1,3,5,2,1,2,5,4,1,4,2.0,High-Tech Burnout
4,4,4,4,3,3,3,3,4,4,1,1,5,4,1,4,1.0,Zombie
2,0,3,2,2,2,3,2,2,2,1,1,3,0,3,4,0.0,Healthy
2,2,1,2,1,3,3,3,4,4,2,2,3,2,3,2,0.0,Healthy
4,0,3,3,2,2,3,2,4,4,0,4,4,2,1,4,1.0,Zombie
1,1,1,1,1,1,3,1,1,4,4,1,1,1,3,1,0.0,Healthy
4,2,4,2,2,1,3,3,3,2,2,4,3,0,2,2,0.0,Healthy
2,0,5,3,4,3,3,3,3,3,0,4,3,0,2,4,1.0,Zombie
5,0,5,4,4,4,1,4,5,1,0,1,5,0,1,4,2.0,High-Tech Burnout
4,2,4,3,2,4,1,2,4,2,0,1,4,2,1,4,2.0,High-Tech Burnout
4,2,4,3,3,4,1,2,4,1,2,1,4,2,1,3,2.0,High-Tech Burnout
3,0,5,1,2,3,3,3,4,3,4,4,4,2,2,2,1.0,Zombie
4,2,3,3,2,4,3,4,4,2,1,3,3,0,2,4,1.0,Zombie
5,2,5,3,1,3,2,4,3,2,2,4,5,2,3,2,1.0,Zombie
2,4,2,2,1,2,3,4,2,2,2,4,3,2,3,3,0.0,Healthy
2,1,4,1,1,1,3,3,1,3,0,4,2,2,2,2,0.0,Healthy
4,4,2,2,1,2,3,2,2,4,2,4,1,2,2,4,0.0,Healthy
3,0,2,3,1,3,3,1,4,3,0,3,3,0,2,2,0.0,Healthy
3,2,2,2,2,3,3,2,4,3,1,4,4,0,3,3,1.0,Zombie
3,0,2,4,2,3,3,3,4,3,2,4,4,4,2,2,1.0,Zombie
4,0,4,2,1,3,3,3,1,4,2,4,1,4,2,2,0.0,Healthy
3,0,5,1,1,1,3,3,5,2,2,4,4,4,2,3,1.0,Zombie
1,4,1,1,1,3,3,1,1,3,1,4,1,2,3,2,0.0,Healthy
4,2,3,3,4,4,2,3,3,3,2,4,4,0,2,4,2.0,High-Tech Burnout
3,2,3,2,1,4,3,3,2,3,2,4,2,4,2,3,0.0,Healthy
1,4,1,2,1,1,3,4,5,2,0,4,5,0,3,3,0.0,Healthy
2,4,4,1,1,1,2,4,1,4,4,4,3,4,2,1,0.0,Healthy
4,1,3,1,1,1,3,2,3,2,0,4,4,0,2,4,0.0,Healthy
4,0,3,2,1,2,3,3,3,3,2,4,4,2,1,3,1.0,Zombie
3,0,4,2,1,2,3,3,4,3,2,1,4,2,2,2,1.0,Zombie
4,4,4,3,3,1,3,2,2,3,4,3,3,4,2,2,0.0,Healthy
4,0,2,2,2,2,3,3,4,3,2,4,4,4,3,3,1.0,Zombie
4,2,4,3,3,3,1,4,4,2,2,3,4,2,3,3,2.0,High-Tech Burnout
3,2,4,3,1,3,3,3,3,3,1,1,3,4,3,4,1.0,Zombie
3,0,3,2,2,3,3,3,4,3,0,4,4,0,2,3,1.0,Zombie
3,0,2,3,1,1,3,1,2,4,2,4,3,0,3,3,0.0,Healthy
4,4,3,4,2,4,3,4,5,3,0,4,4,2,3,3,1.0,Zombie
4,2,3,1,3,1,3,2,4,2,2,4,3,0,2,4,0.0,Healthy
3,0,3,3,2,3,3,3,3,4,0,4,3,0,3,3,1.0,Zombie
4,4,4,2,1,2,3,1,3,4,4,4,4,0,2,2,0.0,Healthy
1,2,1,1,1,1,3,3,1,3,0,4,1,4,3,3,0.0,Healthy
3,4,2,2,2,3,3,1,4,4,0,4,2,0,2,4,0.0,Healthy
5,2,4,4,3,2,3,3,4,3,0,2,3,4,2,2,1.0,Zombie
5,0,1,4,4,3,3,1,1,3,0,1,3,0,3,4,1.0,Zombie
3,4,3,2,1,1,3,2,5,3,0,2,4,2,3,3,1.0,Zombie
4,4,4,3,4,3,3,3,3,3,0,4,3,0,3,4,1.0,Zombie
3,0,2,3,1,2,3,2,5,2,2,4,3,4,2,2,0.0,Healthy
4,0,2,2,1,3,3,3,3,2,2,1,3,2,2,2,0.0,Healthy
3,2,5,2,1,1,3,4,1,1,0,4,2,0,2,2,0.0,Healthy
5,0,5,4,4,4,3,4,5,4,0,4,5,0,2,4,1.0,Zombie
4,0,1,2,3,3,3,1,3,3,0,2,5,4,3,3,1.0,Zombie
2,0,4,1,2,2,3,2,3,3,0,4,3,0,3,4,0.0,Healthy
2,1,3,1,1,1,3,2,1,2,0,4,4,0,2,3,0.0,Healthy
3,0,3,1,2,3,3,2,4,4,2,4,2,2,2,3,0.0,Healthy
4,0,3,2,3,3,3,2,5,3,2,4,4,4,3,2,1.0,Zombie
4,2,4,1,1,4,3,3,4,3,2,1,3,2,3,3,1.0,Zombie
4,0,4,2,2,3,3,3,3,3,0,4,4,2,2,2,1.0,Zombie
5,0,2,2,4,2,2,4,3,4,1,4,4,0,3,2,2.0,High-Tech Burnout
3,0,3,3,1,3,3,1,2,4,2,1,5,4,3,4,1.0,Zombie
4,2,4,3,1,3,3,3,4,2,2,4,4,0,3,4,1.0,Zombie
4,2,4,2,1,3,3,2,5,3,2,1,4,4,3,3,1.0,Zombie
2,0,4,3,2,3,3,3,3,3,0,2,3,2,3,4,1.0,Zombie
5,2,5,2,2,3,3,3,5,3,2,4,5,4,3,4,1.0,Zombie
4,4,4,3,3,4,3,4,4,4,0,1,3,4,2,2,1.0,Zombie
1,2,1,3,1,1,3,1,3,3,2,3,2,4,3,2,0.0,Healthy
1,0,2,3,3,4,3,3,1,4,2,4,1,0,3,2,0.0,Healthy
2,0,2,1,1,1,3,2,2,4,0,4,3,0,2,2,0.0,Healthy
3,4,4,3,2,2,3,2,1,2,2,4,4,4,2,2,0.0,Healthy
4,2,2,1,1,1,3,3,1,4,2,1,4,4,2,4,0.0,Healthy
3,4,4,3,1,1,3,1,1,3,2,4,3,0,2,2,0.0,Healthy
2,4,4,3,3,3,3,4,5,2,2,3,4,2,2,2,1.0,Zombie
4,0,5,3,2,2,3,3,3,3,2,2,4,0,2,2,1.0,Zombie
4,4,5,2,2,2,3,3,5,3,2,4,4,4,3,2,1.0,Zombie
2,0,5,1,1,2,3,4,4,3,4,1,4,4,3,2,1.0,Zombie
4,0,3,2,1,2,3,2,3,3,0,4,3,4,3,2,0.0,Healthy
4,2,4,3,2,2,3,3,3,3,0,4,4,0,2,3,1.0,Zombie
4,4,4,3,2,3,3,3,5,2,1,4,4,2,2,3,1.0,Zombie
4,2,3,2,2,3,3,3,3,4,2,4,4,4,2,2,1.0,Zombie
2,4,2,1,1,3,3,2,4,4,2,4,2,4,3,2,0.0,Healthy
3,2,4,2,1,2,3,3,1,3,4,1,4,0,3,4,0.0,Healthy
5,0,4,1,2,1,3,4,5,2,0,4,5,4,2,2,1.0,Zombie
4,0,3,2,2,2,3,3,4,2,1,1,3,0,2,2,1.0,Zombie
4,0,4,4,1,2,3,4,5,4,1,4,4,4,3,3,1.0,Zombie
4,0,4,2,2,4,2,2,5,4,0,4,3,2,2,3,2.0,High-Tech Burnout
4,1,5,1,2,2,3,3,2,2,4,4,4,0,2,4,1.0,Zombie
1,2,4,1,1,1,3,3,4,2,2,4,2,2,2,3,0.0,Healthy
1,4,1,1,1,2,3,1,3,4,4,4,1,4,2,2,0.0,Healthy
5,2,5,2,1,2,3,3,3,3,2,4,4,4,3,2,1.0,Zombie
4,1,5,3,4,3,3,3,4,3,2,4,3,0,2,4,1.0,Zombie
5,2,5,3,1,1,3,4,5,3,2,4,5,4,3,3,1.0,Zombie
5,2,5,3,3,4,3,4,5,3,2,3,5,2,3,4,1.0,Zombie
5,4,5,4,4,4,3,4,5,2,1,1,5,4,1,3,1.0,Zombie
4,2,3,2,2,3,3,3,4,2,1,2,4,2,3,2,1.0,Zombie
5,0,3,2,1,3,3,3,5,2,2,4,3,2,3,4,1.0,Zombie
3,2,2,1,1,2,3,3,4,3,2,4,2,4,1,4,0.0,Healthy
2,4,2,3,1,3,3,2,2,2,2,1,2,0,3,4,0.0,Healthy
4,4,4,2,3,2,3,3,2,3,0,4,4,4,2,4,1.0,Zombie
3,1,4,2,1,1,2,3,2,4,2,2,2,2,3,3,0.0,Healthy
4,0,2,3,1,1,3,3,2,4,0,3,3,0,2,4,0.0,Healthy
4,0,4,2,1,2,3,3,4,2,2,4,3,0,3,3,1.0,Zombie
4,0,4,3,1,2,3,3,3,3,1,4,4,4,3,4,1.0,Zombie
4,0,4,2,2,2,3,4,4,3,2,4,4,0,3,3,1.0,Zombie
4,0,3,3,2,3,3,3,4,3,0,4,4,2,3,4,1.0,Zombie
5,0,5,4,3,3,3,4,5,4,1,4,1,4,3,4,1.0,Zombie
2,4,3,1,1,2,3,3,4,1,0,4,3,0,1,4,0.0,Healthy
5,0,4,3,2,3,3,3,4,3,0,3,3,4,2,3,1.0,Zombie
4,0,4,2,1,3,3,3,4,2,0,4,3,4,3,4,1.0,Zombie
3,4,2,1,1,1,3,1,4,3,0,4,3,0,2,3,0.0,Healthy
2,1,5,1,1,2,3,3,1,3,2,4,4,4,2,4,0.0,Healthy
4,4,2,2,1,1,3,3,5,3,1,1,4,4,3,4,1.0,Zombie
4,2,5,2,1,3,3,3,4,4,0,4,3,4,3,4,1.0,Zombie
4,1,4,1,1,1,3,2,3,3,2,4,4,4,2,4,0.0,Healthy
2,4,4,3,1,1,2,3,4,4,2,4,1,0,2,2,0.0,Healthy
2,2,3,2,1,1,3,2,2,3,2,4,2,0,2,3,0.0,Healthy
5,4,4,2,2,2,3,4,4,2,2,1,4,0,1,3,1.0,Zombie
3,0,2,3,3,3,3,2,4,3,0,4,3,2,3,2,1.0,Zombie
4,1,5,2,1,3,3,4,5,4,1,4,5,4,2,4,1.0,Zombie
4,4,3,2,3,3,3,4,4,2,1,4,4,0,3,2,1.0,Zombie
4,0,4,2,1,3,3,3,3,2,4,4,3,0,2,3,1.0,Zombie
1,4,3,3,2,3,1,2,1,3,0,2,4,2,3,4,2.0,High-Tech Burnout
4,0,5,2,2,3,2,3,5,3,1,4,5,0,1,3,2.0,High-Tech Burnout
2,4,2,2,1,1,3,4,2,4,0,4,2,4,3,3,0.0,Healthy
3,4,3,3,1,2,1,3,4,2,2,1,3,2,3,3,2.0,High-Tech Burnout
3,1,2,1,1,1,3,1,3,4,0,4,2,0,2,2,0.0,Healthy
3,0,4,2,1,3,3,2,4,2,1,4,3,0,3,4,1.0,Zombie
3,1,4,3,3,1,2,2,4,3,1,4,3,4,2,3,2.0,High-Tech Burnout
3,2,4,3,3,3,3,3,3,3,0,4,3,0,3,2,1.0,Zombie
3,2,4,1,1,3,3,3,4,3,2,4,3,4,3,3,1.0,Zombie
3,2,5,1,2,2,3,3,4,3,2,4,4,0,3,4,1.0,Zombie
3,2,3,2,1,1,3,2,2,2,2,1,3,2,3,2,0.0,Healthy
2,0,4,2,1,3,3,3,4,4,2,1,2,0,3,2,0.0,Healthy
4,4,4,3,1,3,3,3,2,3,2,4,3,0,3,2,1.0,Zombie
4,4,3,2,1,1,3,2,5,4,1,4,5,0,2,3,1.0,Zombie
3,0,4,1,1,2,3,3,2,3,0,1,3,0,2,3,0.0,Healthy
5,2,5,3,2,3,3,4,5,4,2,4,5,2,3,3,1.0,Zombie
3,4,4,2,2,3,2,3,3,2,0,3,3,2,2,2,2.0,High-Tech Burnout
4,0,4,3,1,2,3,3,4,4,0,1,4,4,3,3,1.0,Zombie
3,2,4,1,1,1,3,3,3,3,0,4,3,0,2,2,0.0,Healthy
3,1,2,2,1,1,1,3,2,1,2,4,1,1,3,3,2.0,High-Tech Burnout
3,1,3,2,1,4,3,3,3,1,4,1,3,1,3,4,1.0,Zombie
2,2,2,3,1,1,3,3,4,3,1,1,3,0,1,4,0.0,Healthy
3,0,2,1,1,1,3,2,3,4,2,4,3,1,3,3,0.0,Healthy
3,2,4,2,2,2,3,2,3,2,0,2,3,1,1,4,1.0,Zombie
3,2,5,2,1,2,3,3,4,2,0,2,3,1,1,4,1.0,Zombie
3,2,4,2,1,2,3,2,3,2,0,2,3,1,1,4,0.0,Healthy
4,1,5,1,1,3,3,3,4,3,1,4,4,0,2,2,1.0,Zombie
5,0,4,3,4,3,3,3,3,2,1,1,4,2,3,4,1.0,Zombie
5,0,4,2,2,3,3,4,5,2,1,3,5,2,2,4,1.0,Zombie
3,2,1,3,2,3,1,2,4,3,1,2,1,4,1,2,2.0,High-Tech Burnout
3,2,1,1,1,2,3,1,3,3,2,4,3,2,3,3,0.0,Healthy
4,4,4,2,2,3,3,3,4,4,2,4,4,4,2,2,1.0,Zombie
4,2,4,2,2,2,2,4,4,2,2,2,4,2,3,3,2.0,High-Tech Burnout
4,0,5,1,1,2,3,2,5,2,2,1,3,0,3,3,1.0,Zombie
4,4,4,4,1,3,3,4,4,4,1,4,4,4,3,4,1.0,Zombie
3,0,3,2,1,2,3,3,2,3,4,4,4,4,3,3,0.0,Healthy
3,2,3,2,3,2,3,2,3,3,0,2,3,2,1,3,0.0,Healthy
3,0,5,3,1,3,3,3,4,2,0,4,3,0,2,2,1.0,Zombie
4,2,4,2,1,3,3,4,4,3,2,4,4,2,2,3,1.0,Zombie
3,0,3,1,1,1,3,3,3,4,0,4,3,0,3,4,0.0,Healthy
4,0,2,2,1,3,3,2,4,3,2,3,4,2,3,3,1.0,Zombie
2,4,2,1,1,1,3,2,3,3,2,4,2,0,3,2,0.0,Healthy
3,1,3,1,1,1,3,1,3,4,4,3,3,1,3,4,0.0,Healthy
2,2,1,4,2,4,2,2,1,1,1,3,3,4,2,2,2.0,High-Tech Burnout
4,0,4,1,1,1,3,3,2,3,0,4,3,4,3,2,0.0,Healthy
1,2,4,3,1,2,3,4,1,3,1,4,3,4,1,3,0.0,Healthy
4,0,1,2,1,1,3,1,5,4,2,2,4,4,3,4,0.0,Healthy
4,2,1,3,2,2,3,3,1,2,2,2,5,2,3,4,1.0,Zombie
5,2,5,1,1,1,3,3,5,3,0,4,5,0,3,4,1.0,Zombie
3,4,3,2,2,2,3,3,3,2,1,1,3,4,3,4,1.0,Zombie
1,2,1,1,1,1,2,1,1,1,4,3,1,0,3,3,0.0,Healthy
3,4,1,2,1,3,3,3,1,3,0,4,1,0,3,3,0.0,Healthy
4,0,5,3,3,3,3,3,4,4,0,4,4,4,2,1,1.0,Zombie
4,2,4,2,1,2,3,2,4,2,0,1,5,0,2,4,1.0,Zombie
2,1,3,1,1,1,3,2,2,4,4,2,1,0,3,2,0.0,Healthy
3,4,3,1,1,2,3,3,4,3,0,4,4,4,3,3,1.0,Zombie
3,0,4,3,3,3,3,3,4,2,1,4,3,4,2,2,1.0,Zombie
4,2,3,2,2,2,3,3,3,3,1,1,3,4,1,4,1.0,Zombie
4,2,5,3,2,3,3,4,5,3,2,4,4,0,3,4,1.0,Zombie
4,4,4,2,1,3,3,3,5,4,2,4,4,4,2,3,1.0,Zombie
3,0,4,1,1,1,3,3,4,2,2,4,4,4,2,3,0.0,Healthy
4,2,3,1,1,1,3,2,4,3,2,4,4,0,3,3,0.0,Healthy
4,4,4,3,1,1,3,3,4,3,2,4,4,2,3,3,1.0,Zombie
4,2,4,3,3,3,2,3,4,3,2,3,4,2,3,2,2.0,High-Tech Burnout
3,0,1,1,1,2,3,4,3,1,2,4,5,1,3,3,0.0,Healthy
4,4,3,2,2,2,3,3,4,3,0,4,4,0,3,3,1.0,Zombie
3,1,4,3,3,2,3,3,4,4,1,4,3,4,2,2,1.0,Zombie
3,1,3,2,1,2,3,3,3,2,4,1,3,1,3,3,0.0,Healthy
3,2,1,1,1,3,3,1,5,3,1,1,3,4,3,4,0.0,Healthy
2,2,5,2,2,3,3,3,5,3,0,4,5,0,3,4,1.0,Zombie
2,2,3,1,1,3,3,3,3,2,4,4,2,4,2,2,0.0,Healthy
4,4,2,3,1,2,3,3,2,3,0,4,3,2,3,3,0.0,Healthy
3,2,3,1,1,1,3,2,3,2,1,1,4,2,3,2,0.0,Healthy
4,4,2,3,1,2,3,3,3,3,2,4,4,4,2,2,1.0,Zombie
4,4,2,3,1,2,3,4,5,3,2,4,4,0,2,4,1.0,Zombie
3,0,2,1,1,2,3,2,2,2,4,4,3,2,3,3,0.0,Healthy
4,0,4,2,1,3,3,3,5,3,0,1,3,4,3,3,1.0,Zombie
3,4,4,4,1,2,3,3,3,2,0,4,3,0,2,3,1.0,Zombie
4,0,4,2,1,3,3,3,5,3,0,4,5,0,2,3,1.0,Zombie
3,2,4,2,1,2,3,3,2,3,0,4,3,0,3,3,0.0,Healthy
5,4,5,3,3,4,3,4,5,2,1,4,5,4,3,3,1.0,Zombie
4,4,5,3,2,2,3,3,5,4,0,4,3,2,3,3,1.0,Zombie
5,2,1,1,3,4,3,1,5,4,2,3,5,4,3,4,1.0,Zombie
4,4,4,2,1,2,3,3,3,3,2,4,5,0,2,3,1.0,Zombie
4,0,3,1,1,1,3,1,5,2,2,4,3,0,2,4,0.0,Healthy
3,2,4,3,3,3,2,3,4,2,2,3,3,2,3,3,2.0,High-Tech Burnout
3,2,5,2,1,2,3,2,3,3,2,4,2,4,2,2,0.0,Healthy
3,2,2,2,1,1,3,1,3,4,2,2,2,2,2,4,0.0,Healthy
2,2,3,3,2,2,3,3,4,3,0,4,3,4,3,3,1.0,Zombie
4,0,2,1,1,2,3,2,4,4,0,4,4,0,3,3,0.0,Healthy
2,0,4,3,1,3,3,4,5,3,0,2,3,4,3,3,1.0,Zombie
2,0,4,1,1,3,3,3,3,4,2,2,4,4,2,3,0.0,Healthy
3,4,4,4,3,1,3,3,4,4,2,1,3,0,2,3,1.0,Zombie
3,0,4,3,1,3,3,2,2,2,2,4,4,2,3,3,1.0,Zombie
4,4,3,2,1,2,3,1,2,3,2,4,2,2,3,2,0.0,Healthy
2,0,2,3,1,1,3,2,2,2,1,4,4,1,2,4,0.0,Healthy
3,0,5,3,1,4,3,4,1,2,1,4,1,2,2,4,1.0,Zombie
5,0,5,4,2,3,1,4,5,3,1,1,5,4,3,4,2.0,High-Tech Burnout
4,0,4,2,3,2,3,3,4,3,0,4,4,0,2,4,1.0,Zombie
4,4,4,3,2,3,3,3,4,2,2,1,3,2,2,3,1.0,Zombie
4,0,4,3,2,3,3,4,4,3,0,4,4,4,3,4,1.0,Zombie
4,4,5,2,1,3,3,2,2,3,1,1,2,0,3,2,0.0,Healthy
4,2,4,1,2,3,3,3,4,1,0,1,4,2,3,2,1.0,Zombie
3,0,1,1,4,2,3,3,1,3,0,4,4,4,3,4,0.0,Healthy
1,4,1,3,1,2,3,2,1,4,4,4,1,0,3,2,0.0,Healthy
2,2,2,1,1,1,3,1,4,2,2,3,3,2,2,2,0.0,Healthy
2,2,5,2,2,1,3,3,1,3,2,4,3,2,3,4,0.0,Healthy
3,0,2,2,1,1,3,1,2,3,0,1,3,4,2,2,0.0,Healthy
3,4,4,3,1,3,3,3,4,2,0,4,3,0,3,3,1.0,Zombie
